code,name,level,parent,longitude,latitude,catchmentPopulation
Nigeria,Nigeria,National,,,,
South South,South South,Zone,Nigeria,,,
South East,South East,Zone,Nigeria,,,
North East,North East,Zone,Nigeria,,,
North Central,North Central,Zone,Nigeria,,,
South West,South West,Zone,Nigeria,,,
North West,North West,Zone,Nigeria,,,
Abia,Abia,State,South East,,,
Adamawa,Adamawa,State,North East,,,
Akwa Ibom,Akwa Ibom,State,South South,,,
Anambra,Anambra,State,South East,,,
Bauchi,Bauchi,State,North East,,,
Bayelsa,Bayelsa,State,South South,,,
Benue,Benue,State,North Central,,,
Borno,Borno,State,North East,,,
Cross River,Cross River,State,South South,,,
Delta,Delta,State,South South,,,
Ebonyi,Ebonyi,State,South East,,,
Edo,Edo,State,South South,,,
Ekiti,Ekiti,State,South West,,,
Enugu,Enugu,State,South East,,,
FCT,FCT,State,North Central,,,
Gombe,Gombe,State,North East,,,
Imo,Imo,State,South East,,,
Jigawa,Jigawa,State,North West,,,
Kaduna,Kaduna,State,North West,,,
Kano,Kano,State,North West,,,
Katsina,Katsina,State,North West,,,
Kebbi,Kebbi,State,North West,,,
Kogi,Kogi,State,North Central,,,
Kwara,Kwara,State,North Central,,,
Lagos,Lagos,State,South West,,,
Nasarawa,Nasarawa,State,North Central,,,
Niger,Niger,State,North Central,,,
Ogun,Ogun,State,South West,,,
Ondo,Ondo,State,South West,,,
Osun,Osun,State,South West,,,
Oyo,Oyo,State,South West,,,
Plateau,Plateau,State,North Central,,,
Rivers,Rivers,State,South South,,,
Sokoto,Sokoto,State,North West,,,
Taraba,Taraba,State,North East,,,
Yobe,Yobe,State,North East,,,
Zamfara,Zamfara,State,North West,,,
Katangum,Katangum,Satellite,Bauchi,,,
Central(Maiduguri),Central(Maiduguri),Satellite,Borno,,,
Northern(Monguno),Northern(Monguno),Satellite,Borno,,,
Southern(Biu),Southern(Biu),Satellite,Borno,,,
Northern(Lere),Northern(Lere),Satellite,Kaduna,,,
Central(Kajuru),Central(Kajuru),Satellite,Kaduna,,,
Southern(Sanga),Southern(Sanga),Satellite,Kaduna,,,
Bichi,Bichi,Satellite,Kano,,,
Dawakin Tofa,Dawakin Tofa,Satellite,Kano,,,
Gwale,Gwale,Satellite,Kano,,,
Nasarawa,Nasarawa,Satellite,Kano,,,
Rano,Rano,Satellite,Kano,,,
Wudil,Wudil,Satellite,Kano,,,
Sandamu,Sandamu,Satellite,Katsina,,,
Dandume,Dandume,Satellite,Katsina,,,
Kankia,Kankia,Satellite,Katsina,,,
Katsina,Katsina,Satellite,Katsina,,,
Damaturu,Damaturu,Satellite,Yobe,,,
Bade,Bade,Satellite,Yobe,,,
Potiskum,Potiskum,Satellite,Yobe,,,
Kaura Namoda,Kaura Namoda,Satellite,Zamfara,,,
Talata Mafara,Talata Mafara,Satellite,Zamfara,,,
Aba North,Aba North,Local Government Area,Abia,,,
Aba South,Aba South,Local Government Area,Abia,,,
Arochukwu,Arochukwu,Local Government Area,Abia,,,
Bende,Bende,Local Government Area,Abia,,,
Ikwuano,Ikwuano,Local Government Area,Abia,,,
Isiala Ngwa North,Isiala Ngwa North,Local Government Area,Abia,,,
Isiala Ngwa South,Isiala Ngwa South,Local Government Area,Abia,,,
Isiukwuato,Isiukwuato,Local Government Area,Abia,,,
Obi Ngwa,Obi Ngwa,Local Government Area,Abia,,,
Ohafia,Ohafia,Local Government Area,Abia,,,
Osisioma Ngwa,Osisioma Ngwa,Local Government Area,Abia,,,
Ugwunagbo,Ugwunagbo,Local Government Area,Abia,,,
Ukwa East,Ukwa East,Local Government Area,Abia,,,
Ukwa West,Ukwa West,Local Government Area,Abia,,,
Umuahia North,Umuahia North,Local Government Area,Abia,,,
Umuahia South,Umuahia South,Local Government Area,Abia,,,
Umunneochi,Umunneochi,Local Government Area,Abia,,,
Demsa,Demsa,Local Government Area,Adamawa,,,
Fufore,Fufore,Local Government Area,Adamawa,,,
Ganye,Ganye,Local Government Area,Adamawa,,,
Girei,Girei,Local Government Area,Adamawa,,,
Gombi,Gombi,Local Government Area,Adamawa,,,
Guyuk,Guyuk,Local Government Area,Adamawa,,,
Hong,Hong,Local Government Area,Adamawa,,,
Jada,Jada,Local Government Area,Adamawa,,,
Lamurde,Lamurde,Local Government Area,Adamawa,,,
Madagali,Madagali,Local Government Area,Adamawa,,,
Maiha,Maiha,Local Government Area,Adamawa,,,
Mayo-Belwa,Mayo-Belwa,Local Government Area,Adamawa,,,
Michika,Michika,Local Government Area,Adamawa,,,
Mubi North,Mubi North,Local Government Area,Adamawa,,,
Mubi South,Mubi South,Local Government Area,Adamawa,,,
Numan,Numan,Local Government Area,Adamawa,,,
Shelleng,Shelleng,Local Government Area,Adamawa,,,
Song,Song,Local Government Area,Adamawa,,,
Toungo,Toungo,Local Government Area,Adamawa,,,
Yola North,Yola North,Local Government Area,Adamawa,,,
Yola South,Yola South,Local Government Area,Adamawa,,,
Abak,Abak,Local Government Area,Akwa Ibom,,,
Eastern Obolo,Eastern Obolo,Local Government Area,Akwa Ibom,,,
Eket,Eket,Local Government Area,Akwa Ibom,,,
Esit-Eket,Esit-Eket,Local Government Area,Akwa Ibom,,,
Essien Udim,Essien Udim,Local Government Area,Akwa Ibom,,,
Etim-Ekpo,Etim-Ekpo,Local Government Area,Akwa Ibom,,,
Etinan,Etinan,Local Government Area,Akwa Ibom,,,
Ibeno,Ibeno,Local Government Area,Akwa Ibom,,,
Ibesikpo-Asutan,Ibesikpo-Asutan,Local Government Area,Akwa Ibom,,,
Ibiono-Ibom,Ibiono-Ibom,Local Government Area,Akwa Ibom,,,
Ika,Ika,Local Government Area,Akwa Ibom,,,
Ikono,Ikono,Local Government Area,Akwa Ibom,,,
Ikot Abasi,Ikot Abasi,Local Government Area,Akwa Ibom,,,
Ikot Ekpene,Ikot Ekpene,Local Government Area,Akwa Ibom,,,
Ini,Ini,Local Government Area,Akwa Ibom,,,
Itu,Itu,Local Government Area,Akwa Ibom,,,
Mbo,Mbo,Local Government Area,Akwa Ibom,,,
Mkpat-Enin,Mkpat-Enin,Local Government Area,Akwa Ibom,,,
Nsit-Atai,Nsit-Atai,Local Government Area,Akwa Ibom,,,
Nsit-Ibom,Nsit-Ibom,Local Government Area,Akwa Ibom,,,
Nsit-Ubium,Nsit-Ubium,Local Government Area,Akwa Ibom,,,
Obot-Akara,Obot-Akara,Local Government Area,Akwa Ibom,,,
Okobo,Okobo,Local Government Area,Akwa Ibom,,,
Onna,Onna,Local Government Area,Akwa Ibom,,,
Oron,Oron,Local Government Area,Akwa Ibom,,,
Oruk Anam,Oruk Anam,Local Government Area,Akwa Ibom,,,
Ukanafun,Ukanafun,Local Government Area,Akwa Ibom,,,
Udung-Uko,Udung-Uko,Local Government Area,Akwa Ibom,,,
Uruan,Uruan,Local Government Area,Akwa Ibom,,,
Urue-Offong/Oruko,Urue-Offong/Oruko,Local Government Area,Akwa Ibom,,,
Uyo,Uyo,Local Government Area,Akwa Ibom,,,
Aguata,Aguata,Local Government Area,Anambra,,,
Anambra East,Anambra East,Local Government Area,Anambra,,,
Anambra West,Anambra West,Local Government Area,Anambra,,,
Anaocha,Anaocha,Local Government Area,Anambra,,,
Anyamelum,Anyamelum,Local Government Area,Anambra,,,
Awka North,Awka North,Local Government Area,Anambra,,,
Awka South,Awka South,Local Government Area,Anambra,,,
Demili North,Demili North,Local Government Area,Anambra,,,
Dunukofia,Dunukofia,Local Government Area,Anambra,,,
Ekwusigo,Ekwusigo,Local Government Area,Anambra,,,
Idemili South,Idemili South,Local Government Area,Anambra,,,
Ihiala,Ihiala,Local Government Area,Anambra,,,
Njikoka,Njikoka,Local Government Area,Anambra,,,
Nnewi North,Nnewi North,Local Government Area,Anambra,,,
Nnewi South,Nnewi South,Local Government Area,Anambra,,,
Ogbaru,Ogbaru,Local Government Area,Anambra,,,
Onitsha North,Onitsha North,Local Government Area,Anambra,,,
Onitsha South,Onitsha South,Local Government Area,Anambra,,,
Orumba North,Orumba North,Local Government Area,Anambra,,,
Orumba South,Orumba South,Local Government Area,Anambra,,,
Oyi,Oyi,Local Government Area,Anambra,,,
Bauchi,Bauchi,Local Government Area,Bauchi,,,
Tafawa Balewa,Tafawa Balewa,Local Government Area,Bauchi,,,
Dass,Dass,Local Government Area,Bauchi,,,
Toro,Toro,Local Government Area,Bauchi,,,
Bogoro,Bogoro,Local Government Area,Bauchi,,,
Ningi,Ningi,Local Government Area,Bauchi,,,
Warji,Warji,Local Government Area,Bauchi,,,
Ganjuwa,Ganjuwa,Local Government Area,Bauchi,,,
Kirfi,Kirfi,Local Government Area,Bauchi,,,
Alkaleri,Alkaleri,Local Government Area,Bauchi,,,
Darazo,Darazo,Local Government Area,Bauchi,,,
Misau,Misau,Local Government Area,Bauchi,,,
Giade,Giade,Local Government Area,Bauchi,,,
Shira,Shira,Local Government Area,Bauchi,,,
Jama’are,Jama’are,Local Government Area,Bauchi,,,
Katangum,Katangum,Local Government Area,Bauchi,,,
Itas/Gadau,Itas/Gadau,Local Government Area,Bauchi,,,
Zaki,Zaki,Local Government Area,Bauchi,,,
Gamawa,Gamawa,Local Government Area,Bauchi,,,
Damban,Damban,Local Government Area,Bauchi,,,
Brass,Brass,Local Government Area,Bayelsa,,,
Ekeremor,Ekeremor,Local Government Area,Bayelsa,,,
Kolokuma/Opokuma,Kolokuma/Opokuma,Local Government Area,Bayelsa,,,
Nembe,Nembe,Local Government Area,Bayelsa,,,
Ogbia,Ogbia,Local Government Area,Bayelsa,,,
Sagbama,Sagbama,Local Government Area,Bayelsa,,,
Southern Ijaw,Southern Ijaw,Local Government Area,Bayelsa,,,
Yenagoa,Yenagoa,Local Government Area,Bayelsa,,,
Ado,Ado,Local Government Area,Benue,,,
Agatu,Agatu,Local Government Area,Benue,,,
Apa,Apa,Local Government Area,Benue,,,
Buruku,Buruku,Local Government Area,Benue,,,
Gboko,Gboko,Local Government Area,Benue,,,
Guma,Guma,Local Government Area,Benue,,,
Gwer East,Gwer East,Local Government Area,Benue,,,
Gwer West,Gwer West,Local Government Area,Benue,,,
Katsina-Ala,Katsina-Ala,Local Government Area,Benue,,,
Konshisha,Konshisha,Local Government Area,Benue,,,
Kwande,Kwande,Local Government Area,Benue,,,
Logo,Logo,Local Government Area,Benue,,,
Makurdi,Makurdi,Local Government Area,Benue,,,
Obi,Obi,Local Government Area,Benue,,,
Ogbadibo,Ogbadibo,Local Government Area,Benue,,,
Ohimini,Ohimini,Local Government Area,Benue,,,
Oju,Oju,Local Government Area,Benue,,,
Okpokwu,Okpokwu,Local Government Area,Benue,,,
Otukpo,Otukpo,Local Government Area,Benue,,,
Tarka,Tarka,Local Government Area,Benue,,,
Ukum,Ukum,Local Government Area,Benue,,,
Ushongo,Ushongo,Local Government Area,Benue,,,
Vandeikya,Vandeikya,Local Government Area,Benue,,,
Hawul,Hawul,Local Government Area,Borno,,,
Jere,Jere,Local Government Area,Borno,,,
Kaga,Kaga,Local Government Area,Borno,,,
Kala/Balge,Kala/Balge,Local Government Area,Borno,,,
Konduga,Konduga,Local Government Area,Borno,,,
Kukawa,Kukawa,Local Government Area,Borno,,,
Kwaya Kusar,Kwaya Kusar,Local Government Area,Borno,,,
Mafa,Mafa,Local Government Area,Borno,,,
Magumeri,Magumeri,Local Government Area,Borno,,,
Maiduguri,Maiduguri,Local Government Area,Borno,,,
Marte,Marte,Local Government Area,Borno,,,
Mobbar,Mobbar,Local Government Area,Borno,,,
Monguno,Monguno,Local Government Area,Borno,,,
Ngala,Ngala,Local Government Area,Borno,,,
Nganzai,Nganzai,Local Government Area,Borno,,,
Shani,Shani,Local Government Area,Borno,,,
Abadam,Abadam,Local Government Area,Borno,,,
Askira/Uba,Askira/Uba,Local Government Area,Borno,,,
Bama,Bama,Local Government Area,Borno,,,
Bayo,Bayo,Local Government Area,Borno,,,
Biu,Biu,Local Government Area,Borno,,,
Chibok,Chibok,Local Government Area,Borno,,,
Damboa,Damboa,Local Government Area,Borno,,,
Dikwa,Dikwa,Local Government Area,Borno,,,
Gubio,Gubio,Local Government Area,Borno,,,
Guzamala,Guzamala,Local Government Area,Borno,,,
Gwoza,Gwoza,Local Government Area,Borno,,,
Abi﻿,Abi﻿,Local Government Area,Cross River,,,
Akamkpa,Akamkpa,Local Government Area,Cross River,,,
Akpabuyo,Akpabuyo,Local Government Area,Cross River,,,
Bakassi,Bakassi,Local Government Area,Cross River,,,
Bekwarra,Bekwarra,Local Government Area,Cross River,,,
Biase,Biase,Local Government Area,Cross River,,,
Boki,Boki,Local Government Area,Cross River,,,
Calabar Municipal,Calabar Municipal,Local Government Area,Cross River,,,
Calabar South,Calabar South,Local Government Area,Cross River,,,
Etung,Etung,Local Government Area,Cross River,,,
Ikom,Ikom,Local Government Area,Cross River,,,
Obanliku,Obanliku,Local Government Area,Cross River,,,
Obubra,Obubra,Local Government Area,Cross River,,,
Obudu,Obudu,Local Government Area,Cross River,,,
Odukpani,Odukpani,Local Government Area,Cross River,,,
Ogoja,Ogoja,Local Government Area,Cross River,,,
Yakuur,Yakuur,Local Government Area,Cross River,,,
Yala,Yala,Local Government Area,Cross River,,,
Aniocha North,Aniocha North,Local Government Area,Delta,,,
Aniocha South,Aniocha South,Local Government Area,Delta,,,
Bomadi,Bomadi,Local Government Area,Delta,,,
Burutu,Burutu,Local Government Area,Delta,,,
Ethiope East,Ethiope East,Local Government Area,Delta,,,
Ethiope West,Ethiope West,Local Government Area,Delta,,,
Ika North East,Ika North East,Local Government Area,Delta,,,
Ika South,Ika South,Local Government Area,Delta,,,
Isoko North,Isoko North,Local Government Area,Delta,,,
Isoko South,Isoko South,Local Government Area,Delta,,,
Ndokwa East,Ndokwa East,Local Government Area,Delta,,,
Ndokwa West,Ndokwa West,Local Government Area,Delta,,,
Okpe,Okpe,Local Government Area,Delta,,,
Oshimili North,Oshimili North,Local Government Area,Delta,,,
Oshimili South,Oshimili South,Local Government Area,Delta,,,
Sapele,Sapele,Local Government Area,Delta,,,
Udu,Udu,Local Government Area,Delta,,,
Ughelli North,Ughelli North,Local Government Area,Delta,,,
Ughelli South,Ughelli South,Local Government Area,Delta,,,
Ukwuani,Ukwuani,Local Government Area,Delta,,,
Uvwie,Uvwie,Local Government Area,Delta,,,
Patani,Patani,Local Government Area,Delta,,,
Warri North,Warri North,Local Government Area,Delta,,,
Warri South,Warri South,Local Government Area,Delta,,,
Warri South West,Warri South West,Local Government Area,Delta,,,
Abakaliki,Abakaliki,Local Government Area,Ebonyi,,,
Afikpo North,Afikpo North,Local Government Area,Ebonyi,,,
Afikpo South,Afikpo South,Local Government Area,Ebonyi,,,
Ebonyi,Ebonyi,Local Government Area,Ebonyi,,,
Ezza North,Ezza North,Local Government Area,Ebonyi,,,
Ezza South,Ezza South,Local Government Area,Ebonyi,,,
Ikwo,Ikwo,Local Government Area,Ebonyi,,,
Ishielu,Ishielu,Local Government Area,Ebonyi,,,
Ivo,Ivo,Local Government Area,Ebonyi,,,
Izzi,Izzi,Local Government Area,Ebonyi,,,
Ohaozara,Ohaozara,Local Government Area,Ebonyi,,,
Ohaukwu,Ohaukwu,Local Government Area,Ebonyi,,,
Onicha,Onicha,Local Government Area,Ebonyi,,,
Akoko-Edo,Akoko-Edo,Local Government Area,Edo,,,
Egor,Egor,Local Government Area,Edo,,,
Esan Central,Esan Central,Local Government Area,Edo,,,
Esan North-East,Esan North-East,Local Government Area,Edo,,,
Esan South-East,Esan South-East,Local Government Area,Edo,,,
Esan West,Esan West,Local Government Area,Edo,,,
Etsako Central,Etsako Central,Local Government Area,Edo,,,
Etsako East,Etsako East,Local Government Area,Edo,,,
Etsako West,Etsako West,Local Government Area,Edo,,,
Igueben,Igueben,Local Government Area,Edo,,,
Ikpoba-Okha,Ikpoba-Okha,Local Government Area,Edo,,,
Oredo,Oredo,Local Government Area,Edo,,,
Orhionmwon,Orhionmwon,Local Government Area,Edo,,,
Ovia North-East,Ovia North-East,Local Government Area,Edo,,,
Ovia South-West,Ovia South-West,Local Government Area,Edo,,,
Owan East,Owan East,Local Government Area,Edo,,,
Owan West,Owan West,Local Government Area,Edo,,,
Uhunmwonde,Uhunmwonde,Local Government Area,Edo,,,
Ado-Ekiti﻿,Ado-Ekiti﻿,Local Government Area,Ekiti,,,
Ikere,Ikere,Local Government Area,Ekiti,,,
Oye,Oye,Local Government Area,Ekiti,,,
Aiyekire (Gbonyin),Aiyekire (Gbonyin),Local Government Area,Ekiti,,,
Efon,Efon,Local Government Area,Ekiti,,,
Ekiti East,Ekiti East,Local Government Area,Ekiti,,,
Ekiti South-West,Ekiti South-West,Local Government Area,Ekiti,,,
Ekiti West,Ekiti West,Local Government Area,Ekiti,,,
Emure,Emure,Local Government Area,Ekiti,,,
Ido-Osi,Ido-Osi,Local Government Area,Ekiti,,,
Ijero,Ijero,Local Government Area,Ekiti,,,
Ikole,Ikole,Local Government Area,Ekiti,,,
Ilejemeje,Ilejemeje,Local Government Area,Ekiti,,,
Irepodun/Ifelodun,Irepodun/Ifelodun,Local Government Area,Ekiti,,,
Ise/Orun,Ise/Orun,Local Government Area,Ekiti,,,
Moba,Moba,Local Government Area,Ekiti,,,
Aninri,Aninri,Local Government Area,Enugu,,,
Awgu,Awgu,Local Government Area,Enugu,,,
Enugu East,Enugu East,Local Government Area,Enugu,,,
Enugu North,Enugu North,Local Government Area,Enugu,,,
Enugu South,Enugu South,Local Government Area,Enugu,,,
Ezeagu,Ezeagu,Local Government Area,Enugu,,,
Igbo Etiti,Igbo Etiti,Local Government Area,Enugu,,,
Igbo Eze North,Igbo Eze North,Local Government Area,Enugu,,,
Igbo Eze South,Igbo Eze South,Local Government Area,Enugu,,,
Isi Uzo,Isi Uzo,Local Government Area,Enugu,,,
Nkanu East,Nkanu East,Local Government Area,Enugu,,,
Nkanu West,Nkanu West,Local Government Area,Enugu,,,
Nsukka,Nsukka,Local Government Area,Enugu,,,
Oji River,Oji River,Local Government Area,Enugu,,,
Udenu,Udenu,Local Government Area,Enugu,,,
Udi,Udi,Local Government Area,Enugu,,,
Uzo-Uwani,Uzo-Uwani,Local Government Area,Enugu,,,
Abaji,Abaji,Local Government Area,FCT,,,
AMAC,AMAC,Local Government Area,FCT,,,
Bwari,Bwari,Local Government Area,FCT,,,
Gwagwalada,Gwagwalada,Local Government Area,FCT,,,
Kuje,Kuje,Local Government Area,FCT,,,
Kwali,Kwali,Local Government Area,FCT,,,
Akko,Akko,Local Government Area,Gombe,,,
Balanga,Balanga,Local Government Area,Gombe,,,
Billiri,Billiri,Local Government Area,Gombe,,,
Dukku,Dukku,Local Government Area,Gombe,,,
Funakaye,Funakaye,Local Government Area,Gombe,,,
Gombe,Gombe,Local Government Area,Gombe,,,
Kaltungo,Kaltungo,Local Government Area,Gombe,,,
Kwami,Kwami,Local Government Area,Gombe,,,
Nafada,Nafada,Local Government Area,Gombe,,,
Shongom,Shongom,Local Government Area,Gombe,,,
Yamaltu/Deba,Yamaltu/Deba,Local Government Area,Gombe,,,
Aboh Mbaise,Aboh Mbaise,Local Government Area,Imo,,,
Ahiazu Mbaise,Ahiazu Mbaise,Local Government Area,Imo,,,
Ehime Mbano,Ehime Mbano,Local Government Area,Imo,,,
Ezinihitte Mbaise,Ezinihitte Mbaise,Local Government Area,Imo,,,
Ideato North,Ideato North,Local Government Area,Imo,,,
Ideato South,Ideato South,Local Government Area,Imo,,,
Ihitte/Uboma,Ihitte/Uboma,Local Government Area,Imo,,,
Ikeduru,Ikeduru,Local Government Area,Imo,,,
Isiala Mbano,Isiala Mbano,Local Government Area,Imo,,,
Isu,Isu,Local Government Area,Imo,,,
Mbaitoli,Mbaitoli,Local Government Area,Imo,,,
Ngor Okpala,Ngor Okpala,Local Government Area,Imo,,,
Njaba,Njaba,Local Government Area,Imo,,,
Nkwerre,Nkwerre,Local Government Area,Imo,,,
Nwangele,Nwangele,Local Government Area,Imo,,,
Obowo,Obowo,Local Government Area,Imo,,,
Oguta,Oguta,Local Government Area,Imo,,,
Ohaji/Egbema,Ohaji/Egbema,Local Government Area,Imo,,,
Okigwe,Okigwe,Local Government Area,Imo,,,
Onuimo,Onuimo,Local Government Area,Imo,,,
Orlu,Orlu,Local Government Area,Imo,,,
Orsu,Orsu,Local Government Area,Imo,,,
Oru East,Oru East,Local Government Area,Imo,,,
Oru West,Oru West,Local Government Area,Imo,,,
Owerri Municipal,Owerri Municipal,Local Government Area,Imo,,,
Owerri North,Owerri North,Local Government Area,Imo,,,
Owerri West,Owerri West,Local Government Area,Imo,,,
Auyo,Auyo,Local Government Area,Jigawa,,,
Babura,Babura,Local Government Area,Jigawa,,,
Biriniwa,Biriniwa,Local Government Area,Jigawa,,,
Birnin Kudu,Birnin Kudu,Local Government Area,Jigawa,,,
Buji,Buji,Local Government Area,Jigawa,,,
Dutse,Dutse,Local Government Area,Jigawa,,,
Gagarawa,Gagarawa,Local Government Area,Jigawa,,,
Garki,Garki,Local Government Area,Jigawa,,,
Gumel,Gumel,Local Government Area,Jigawa,,,
Guri,Guri,Local Government Area,Jigawa,,,
Gwaram,Gwaram,Local Government Area,Jigawa,,,
Gwiwa,Gwiwa,Local Government Area,Jigawa,,,
Hadejia,Hadejia,Local Government Area,Jigawa,,,
Jahun,Jahun,Local Government Area,Jigawa,,,
Kafin Hausa,Kafin Hausa,Local Government Area,Jigawa,,,
Kaugama,Kaugama,Local Government Area,Jigawa,,,
Kazaure,Kazaure,Local Government Area,Jigawa,,,
Kiri Kasama,Kiri Kasama,Local Government Area,Jigawa,,,
Kiyawa,Kiyawa,Local Government Area,Jigawa,,,
Maigatari,Maigatari,Local Government Area,Jigawa,,,
Malam Madori,Malam Madori,Local Government Area,Jigawa,,,
Miga,Miga,Local Government Area,Jigawa,,,
Ringim,Ringim,Local Government Area,Jigawa,,,
Roni,Roni,Local Government Area,Jigawa,,,
Sule Tankarkar,Sule Tankarkar,Local Government Area,Jigawa,,,
Taura,Taura,Local Government Area,Jigawa,,,
Yankwashi,Yankwashi,Local Government Area,Jigawa,,,
Birnin Gwari,Birnin Gwari,Local Government Area,Kaduna,,,
Chikun,Chikun,Local Government Area,Kaduna,,,
Giwa,Giwa,Local Government Area,Kaduna,,,
Igabi,Igabi,Local Government Area,Kaduna,,,
Ikara,Ikara,Local Government Area,Kaduna,,,
Jaba,Jaba,Local Government Area,Kaduna,,,
Jema’a,Jema’a,Local Government Area,Kaduna,,,
Kachia,Kachia,Local Government Area,Kaduna,,,
